brand_cn,brand_en,brand_slug,title,price_usd,length_mm,ring_gauge,handle,category_slug,cuban_parent_slug,image1,image2,image3,image4,image5
高希霸,COHIBA,cohiba,世纪4号 Siglo IV (25枝),2740,143,46,cohiba-4-siglo-iv-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,世纪5号 Siglo V (25枝),4035,170,46,cohiba-5-siglo-v-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,世纪6号 Siglo VI (10枝),1960,150,52,cohiba-6-siglo-vi-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,世纪6号 Siglo VI (25枝),4616,150,52,cohiba-6-siglo-vi-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,宾利 PANETELAS (25枝),1080,115,26,cohiba-panetelas-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,吉士图 EXQUISITOS (25枝),1478,126,33,cohiba-exquisitos-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,导师纸盒 Esplendidos (15枝),3122,178,47,cohiba-esplendidos-15,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260411567-COHIBA_Esplendidos_1.jpg,https://api.shangjiacigar.com/static/1774260411572-COHIBA_Esplendidos_2.jpg,https://api.shangjiacigar.com/static/1774260411577-COHIBA_Esplendidos_3.jpg,,
高希霸,COHIBA,cohiba,黄金岁月兔年限量版 SIGLO DE ORO YEAR OF THE RABBIT (18枝),4782,115,54,cohiba-siglo-de-oro-year-of-the-rabbi,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260411578-COHIBA_SIGLO_DE_ORO_1.jpg,https://api.shangjiacigar.com/static/1774260413335-COHIBA_SIGLO_DE_ORO_2.jpg,,,
高希霸,COHIBA,cohiba,55周年2021限量版 55 ANIVERSARIO 2021 LIMITED EDITION (10枝),5944,150,57,cohiba-55-2021-55-aniversario-2021-li,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260413338-COHIBA_55_ANIVERSARIO_1.jpg,https://api.shangjiacigar.com/static/1774260413339-COHIBA_55_ANIVERSARIO_2.jpg,https://api.shangjiacigar.com/static/1774260413337-COHIBA_55_ANIVERSARIO_3.jpg,,
高希霸,COHIBA,cohiba,短号 2022蛇年 Short Year of the  2022LE (88枝),432,82,27,cohiba-2022-short-year-of-the-2022le,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260413338-COHIBA_Short_Snake_1.jpg,https://api.shangjiacigar.com/static/1774260416081-COHIBA_Short_Snake_2.jpg,,,
高希霸,COHIBA,cohiba,短号 2022虎年 Short Year of the Tiger 2022LE (88枝),465,82,27,cohiba-2022-short-year-of-the-tiger-2,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260416084-COHIBA_Short_Tiger_1.jpg,,,,
高希霸,COHIBA,cohiba,短号 2024龙年限量版 Short Year of the Dragon 2024 (88枝),432,82,27,cohiba-2024-short-year-of-the-dragon,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260416085-COHIBA_Short_Dragon_1.jpg,,,,
高希霸,COHIBA,cohiba,魔术师 Magicos (10枝),1594,115,52,cohiba-magicos-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,特级金字塔 Piramides Extra (10枝),2242,160,54,cohiba-piramides-extra-10,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260416085-COHIBA_Piramides_Extra_1.jpg,https://api.shangjiacigar.com/static/1774260416090-COHIBA_Piramides_Extra_2.jpg,https://api.shangjiacigar.com/static/1774260417029-COHIBA_Piramides_Extra_3.jpg,,
高希霸,COHIBA,cohiba,长矛外交版 Lanceros VIP Gifts (25枝),3952,190,38,cohiba-lanceros-vip-gifts-25,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
高希霸,COHIBA,cohiba,Ambar高希霸安巴尔（琥珀）,1910,132,53,cohiba-ambar,cohiba,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
好友,HOYO,hoyo-de-monterrey,副手 Le Hoyo Du Depute (25枝),465,110,38,hoyo-de-monterrey-le-hoyo-du-depute-25,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260606710-placeholder.png,,,,
好友,HOYO,hoyo-de-monterrey,圣胡安 SAN JUAN (10枝),532,150,54,hoyo-de-monterrey-san-juan-10,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260417030-Hoyo_San_Juan_1.jpg,,,,
好友,HOYO,hoyo-de-monterrey,圣胡安 SAN JUAN (25枝),1254,150,54,hoyo-de-monterrey-san-juan-25,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260417030-Hoyo_San_Juan_2.jpg,,,,
好友,HOYO,hoyo-de-monterrey,双皇冠 DOUBLE CORONAS (25枝),2076,194,49,hoyo-de-monterrey-double-coronas-25,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260417030-Hoyo_Double_Corona_1.jpg,https://api.shangjiacigar.com/static/1774260417030-Hoyo_Double_Corona_2.jpg,,,
好友,HOYO,hoyo-de-monterrey,双皇冠 DOUBLE CORONAS (50枝),4317,194,49,hoyo-de-monterrey-double-coronas-50,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260419429-HOYO_DOUBLE_CORONAS_1.jpg,https://api.shangjiacigar.com/static/1774260419425-HOYO_DOUBLE_CORONAS_2.jpg,https://api.shangjiacigar.com/static/1774260419426-HOYO_DOUBLE_CORONAS_3.jpg,https://api.shangjiacigar.com/static/1774260419428-HOYO_DOUBLE_CORONAS_4.jpg,https://api.shangjiacigar.com/static/1774260419429-HOYO_DOUBLE_CORONAS_50_1.jpg
好友,HOYO,hoyo-de-monterrey,双皇冠特级 GR 2013 DOUBLE CORONAS G.RESERVA (15枝),8295,194,49,hoyo-de-monterrey-gr-2013-double-coronas-g-reser,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260423401-HOYO_GR_DOUBLE_CORONAS_1.jpg,https://api.shangjiacigar.com/static/1774260423403-HOYO_GR_DOUBLE_CORONAS_2.jpg,,,
好友,HOYO,hoyo-de-monterrey,小罗伯图 PETIT ROBUSTO (15枝),324,102,50,hoyo-de-monterrey-petit-robusto-15,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260423401-HOYO_PETIT_ROBUSTO_1.jpg,https://api.shangjiacigar.com/static/1774260423405-HOYO_PETIT_ROBUSTO_2.jpg,https://api.shangjiacigar.com/static/1774260423407-HOYO_PETIT_ROBUSTO_3.jpg,,
好友,HOYO,hoyo-de-monterrey,小罗伯图 PETIT ROBUSTO (25枝),801,102,50,hoyo-de-monterrey-petit-robusto-25,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260426258-HOYO_PETIT_ROBUSTO_25_1.jpg,https://api.shangjiacigar.com/static/1774260426259-HOYO_PETIT_ROBUSTO_25_2.jpg,,,
好友,HOYO,hoyo-de-monterrey,优雅 Elegantes (10枝),482,158,47,hoyo-de-monterrey-elegantes-10,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260426261-HOYO_ELEGANTES_1.jpg,,,,
好友,HOYO,hoyo-de-monterrey,市长 MAIRE (25枝),299,99,30,hoyo-de-monterrey-maire-25,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260426261-HOYO_MAIRE_1.jpg,,,,
好友,HOYO,hoyo-de-monterrey,德里约赛科 RIO SECO (10枝),532,140,56,hoyo-de-monterrey-rio-seco-10,hoyo-de-monterrey,cigar-cuban,https://api.shangjiacigar.com/static/1774260426262-HOYO_RIO_SECO_1.jpg,,,,
